reaction,FBAmodel,upper_bound
EX_3hphac_e_f,Escherichia_coli_SE11,1000
EX_3hphac_e_r,Escherichia_coli_SE11,1e-06
EX_3hpppn_e_f,Escherichia_coli_SE11,1000
EX_3hpppn_e_r,Escherichia_coli_SE11,1e-06
EX_4abut_e_f,Escherichia_coli_SE11,1000
EX_4abut_e_r,Escherichia_coli_SE11,1e-06
EX_4abz_e_f,Clostridium_butyricum_DSM_10702,1000
EX_4abz_e_r,Clostridium_butyricum_DSM_10702,1e-10
EX_4hbz_e_f,Escherichia_coli_SE11,1000
EX_4hbz_e_r,Escherichia_coli_SE11,1e-10
EX_4hoxpacd_e_f,Escherichia_coli_SE11,1000
EX_4hoxpacd_e_r,Escherichia_coli_SE11,1e-06
EX_5fura_e_f,Clostridium_butyricum_DSM_10702,1000
EX_5fura_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_5mta_e_f,Escherichia_coli_SE11,1000
EX_5mta_e_r,Escherichia_coli_SE11,1e-06
EX_7a__czp_e_f,Clostridium_butyricum_DSM_10702,1000
EX_7a__czp_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_7dhcdchol_e_f,Escherichia_coli_SE11,1000
EX_7dhcdchol_e_r,Escherichia_coli_SE11,1e-06
EX_7ocholate_e_f,Escherichia_coli_SE11,1000
EX_7ocholate_e_r,Escherichia_coli_SE11,1e-06
EX_ac_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ac_e_f,Escherichia_coli_SE11,1000
EX_ac_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_ac_e_r,Escherichia_coli_SE11,5e-11
EX_acald_e_f,Clostridium_butyricum_DSM_10702,1000
EX_acald_e_f,Escherichia_coli_SE11,1000
EX_acald_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_acald_e_r,Escherichia_coli_SE11,5e-07
EX_acgal_e_f,Escherichia_coli_SE11,1000
EX_acgal_e_r,Escherichia_coli_SE11,1e-06
EX_acgam_e_f,Clostridium_butyricum_DSM_10702,1000
EX_acgam_e_f,Escherichia_coli_SE11,1000
EX_acgam_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_acgam_e_r,Escherichia_coli_SE11,5e-11
EX_acnam_e_f,Escherichia_coli_SE11,1000
EX_acnam_e_r,Escherichia_coli_SE11,1e-10
EX_acnam2a6agal_e_f,Escherichia_coli_SE11,1000
EX_acnam2a6agal_e_r,Escherichia_coli_SE11,1e-06
EX_adn_e_f,Clostridium_butyricum_DSM_10702,1000
EX_adn_e_f,Escherichia_coli_SE11,1000
EX_adn_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_adn_e_r,Escherichia_coli_SE11,5e-11
EX_adocbl_e_f,Clostridium_butyricum_DSM_10702,1000
EX_adocbl_e_f,Escherichia_coli_SE11,1000
EX_adocbl_e_r,Clostridium_butyricum_DSM_10702,5e-09
EX_adocbl_e_r,Escherichia_coli_SE11,5e-09
EX_agam1b3agal_e_f,Escherichia_coli_SE11,1000
EX_agam1b3agal_e_r,Escherichia_coli_SE11,1e-06
EX_agam1b6agal_e_f,Escherichia_coli_SE11,1000
EX_agam1b6agal_e_r,Escherichia_coli_SE11,1e-06
EX_akg_e_f,Escherichia_coli_SE11,1000
EX_akg_e_r,Escherichia_coli_SE11,1e-06
EX_ala__D_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ala__D_e_f,Escherichia_coli_SE11,1000
EX_ala__D_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_ala__D_e_r,Escherichia_coli_SE11,5e-11
EX_ala__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ala__L_e_f,Escherichia_coli_SE11,1000
EX_ala__L_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_ala__L_e_r,Escherichia_coli_SE11,5e-10
EX_alaasp_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alaasp_e_f,Escherichia_coli_SE11,1000
EX_alaasp_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alaasp_e_r,Escherichia_coli_SE11,5e-07
EX_alagln_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alagln_e_f,Escherichia_coli_SE11,1000
EX_alagln_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alagln_e_r,Escherichia_coli_SE11,5e-07
EX_alaglu_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alaglu_e_f,Escherichia_coli_SE11,1000
EX_alaglu_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alaglu_e_r,Escherichia_coli_SE11,5e-07
EX_alagly_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alagly_e_f,Escherichia_coli_SE11,1000
EX_alagly_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alagly_e_r,Escherichia_coli_SE11,5e-07
EX_alahis_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alahis_e_f,Escherichia_coli_SE11,1000
EX_alahis_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alahis_e_r,Escherichia_coli_SE11,5e-07
EX_alaleu_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alaleu_e_f,Escherichia_coli_SE11,1000
EX_alaleu_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alaleu_e_r,Escherichia_coli_SE11,5e-07
EX_alathr_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alathr_e_f,Escherichia_coli_SE11,1000
EX_alathr_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alathr_e_r,Escherichia_coli_SE11,5e-07
EX_alltn_e_f,Clostridium_butyricum_DSM_10702,1000
EX_alltn_e_f,Escherichia_coli_SE11,1000
EX_alltn_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_alltn_e_r,Escherichia_coli_SE11,5e-07
EX_anzp_e_f,Clostridium_butyricum_DSM_10702,1000
EX_anzp_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_arab__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_arab__L_e_f,Escherichia_coli_SE11,1000
EX_arab__L_e_r,Clostridium_butyricum_DSM_10702,2.3685e-11
EX_arab__L_e_r,Escherichia_coli_SE11,2.3685e-11
EX_arbt_e_f,Clostridium_butyricum_DSM_10702,1000
EX_arbt_e_f,Escherichia_coli_SE11,1000
EX_arbt_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_arbt_e_r,Escherichia_coli_SE11,5e-07
EX_arg__L_e_f,Escherichia_coli_SE11,1000
EX_arg__L_e_r,Escherichia_coli_SE11,1.5e-10
EX_asn__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_asn__L_e_f,Escherichia_coli_SE11,1000
EX_asn__L_e_r,Clostridium_butyricum_DSM_10702,1.125e-10
EX_asn__L_e_r,Escherichia_coli_SE11,1.125e-10
EX_aso3_e_f,Escherichia_coli_SE11,1000
EX_aso3_e_r,Escherichia_coli_SE11,1e-06
EX_aso4_e_f,Escherichia_coli_SE11,1000
EX_aso4_e_r,Escherichia_coli_SE11,1e-06
EX_asp__L_e_f,Escherichia_coli_SE11,1000
EX_asp__L_e_r,Escherichia_coli_SE11,2.25e-10
EX_btn_e_f,Clostridium_butyricum_DSM_10702,1000
EX_btn_e_f,Escherichia_coli_SE11,1000
EX_btn_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_btn_e_r,Escherichia_coli_SE11,5e-10
EX_but_e_f,Clostridium_butyricum_DSM_10702,1000
EX_but_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_butso3_e_f,Clostridium_butyricum_DSM_10702,1000
EX_butso3_e_f,Escherichia_coli_SE11,1000
EX_butso3_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_butso3_e_r,Escherichia_coli_SE11,5e-07
EX_C02528_e_f,Escherichia_coli_SE11,1000
EX_C02528_e_r,Escherichia_coli_SE11,1e-06
EX_ca2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ca2_e_f,Escherichia_coli_SE11,1000
EX_ca2_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_ca2_e_r,Escherichia_coli_SE11,5e-10
EX_cbl1_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cbl1_e_f,Escherichia_coli_SE11,1000
EX_cbl1_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_cbl1_e_r,Escherichia_coli_SE11,5e-10
EX_cbl2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cbl2_e_f,Escherichia_coli_SE11,1000
EX_cbl2_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_cbl2_e_r,Escherichia_coli_SE11,5e-07
EX_cd2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cd2_e_f,Escherichia_coli_SE11,1000
EX_cd2_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_cd2_e_r,Escherichia_coli_SE11,5e-07
EX_cellb_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cellb_e_f,Escherichia_coli_SE11,1000
EX_cellb_e_r,Clostridium_butyricum_DSM_10702,9.87e-12
EX_cellb_e_r,Escherichia_coli_SE11,9.87e-12
EX_cgly_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cgly_e_f,Escherichia_coli_SE11,1000
EX_cgly_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_cgly_e_r,Escherichia_coli_SE11,5e-11
EX_chlphncl_e_f,Clostridium_butyricum_DSM_10702,1000
EX_chlphncl_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_chol_e_f,Escherichia_coli_SE11,1000
EX_chol_e_r,Escherichia_coli_SE11,1e-09
EX_cholate_e_f,Escherichia_coli_SE11,1000
EX_cholate_e_r,Escherichia_coli_SE11,1e-06
EX_cinnm_e_f,Escherichia_coli_SE11,1000
EX_cinnm_e_r,Escherichia_coli_SE11,1e-06
EX_cit_e_f,Escherichia_coli_SE11,1000
EX_cit_e_r,Escherichia_coli_SE11,1e-10
EX_cl_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cl_e_f,Escherichia_coli_SE11,1000
EX_cl_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_cl_e_r,Escherichia_coli_SE11,5e-10
EX_co2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_co2_e_f,Escherichia_coli_SE11,1000
EX_co2_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_co2_e_r,Escherichia_coli_SE11,5e-07
EX_cobalt2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cobalt2_e_f,Escherichia_coli_SE11,1000
EX_cobalt2_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_cobalt2_e_r,Escherichia_coli_SE11,5e-10
EX_core2__rl_e_f,Escherichia_coli_SE11,1000
EX_core2__rl_e_r,Escherichia_coli_SE11,1e-06
EX_core2_e_f,Escherichia_coli_SE11,1000
EX_core2_e_r,Escherichia_coli_SE11,1e-06
EX_core3_e_f,Escherichia_coli_SE11,1000
EX_core3_e_r,Escherichia_coli_SE11,1e-06
EX_core6_e_f,Escherichia_coli_SE11,1000
EX_core6_e_r,Escherichia_coli_SE11,1e-06
EX_core8_e_f,Escherichia_coli_SE11,1000
EX_core8_e_r,Escherichia_coli_SE11,1e-06
EX_crn_e_f,Escherichia_coli_SE11,1000
EX_crn_e_r,Escherichia_coli_SE11,5e-08
EX_cro4_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cro4_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_csn_e_f,Clostridium_butyricum_DSM_10702,1000
EX_csn_e_f,Escherichia_coli_SE11,1000
EX_csn_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_csn_e_r,Escherichia_coli_SE11,5e-11
EX_ctbt_e_f,Escherichia_coli_SE11,1000
EX_ctbt_e_r,Escherichia_coli_SE11,1e-06
EX_cu2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cu2_e_f,Escherichia_coli_SE11,1000
EX_cu2_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_cu2_e_r,Escherichia_coli_SE11,5e-10
EX_cynt_e_f,Escherichia_coli_SE11,1000
EX_cynt_e_r,Escherichia_coli_SE11,1e-06
EX_cys__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cys__L_e_f,Escherichia_coli_SE11,1000
EX_cys__L_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_cys__L_e_r,Escherichia_coli_SE11,5e-10
EX_cytd_e_f,Clostridium_butyricum_DSM_10702,1000
EX_cytd_e_f,Escherichia_coli_SE11,1000
EX_cytd_e_r,Clostridium_butyricum_DSM_10702,2.5e-08
EX_cytd_e_r,Escherichia_coli_SE11,2.5e-08
EX_czp_e_f,Clostridium_butyricum_DSM_10702,1000
EX_czp_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_dad__2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dad__2_e_f,Escherichia_coli_SE11,1000
EX_dad__2_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_dad__2_e_r,Escherichia_coli_SE11,5e-11
EX_dcyt_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dcyt_e_f,Escherichia_coli_SE11,1000
EX_dcyt_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_dcyt_e_r,Escherichia_coli_SE11,5e-11
EX_ddca_e_f,Escherichia_coli_SE11,1000
EX_ddca_e_r,Escherichia_coli_SE11,1e-10
EX_dextrin_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dextrin_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_dfdcytd_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dfdcytd_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_dfduri_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dfduri_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_dgchol_e_f,Escherichia_coli_SE11,1000
EX_dgchol_e_r,Escherichia_coli_SE11,1e-06
EX_dgsn_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dgsn_e_f,Escherichia_coli_SE11,1000
EX_dgsn_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_dgsn_e_r,Escherichia_coli_SE11,5e-11
EX_dh5fura_e_f,Clostridium_butyricum_DSM_10702,1000
EX_dh5fura_e_r,Clostridium_butyricum_DSM_10702,1e-06
EX_dhcinnm_e_f,Escherichia_coli_SE11,1000
EX_dhcinnm_e_r,Escherichia_coli_SE11,1e-06
EX_dhpppn_e_f,Escherichia_coli_SE11,1000
EX_dhpppn_e_r,Escherichia_coli_SE11,1e-06
EX_diact_e_f,Escherichia_coli_SE11,1000
EX_diact_e_r,Escherichia_coli_SE11,1e-06
EX_din_e_f,Clostridium_butyricum_DSM_10702,1000
EX_din_e_f,Escherichia_coli_SE11,1000
EX_din_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_din_e_r,Escherichia_coli_SE11,5e-07
EX_dms_e_f,Escherichia_coli_SE11,1000
EX_dms_e_r,Escherichia_coli_SE11,1e-06
EX_dmso_e_f,Escherichia_coli_SE11,1000
EX_dmso_e_r,Escherichia_coli_SE11,1e-06
EX_drib_e_f,Clostridium_butyricum_DSM_10702,1000
EX_drib_e_f,Escherichia_coli_SE11,1000
EX_drib_e_r,Clostridium_butyricum_DSM_10702,2.3685e-11
EX_drib_e_r,Escherichia_coli_SE11,2.3685e-11
EX_duri_e_f,Clostridium_butyricum_DSM_10702,1000
EX_duri_e_f,Escherichia_coli_SE11,1000
EX_duri_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_duri_e_r,Escherichia_coli_SE11,5e-11
EX_etha_e_f,Escherichia_coli_SE11,1000
EX_etha_e_r,Escherichia_coli_SE11,1e-06
EX_ethso3_e_f,Clostridium_butyricum_DSM_10702,1000
EX_ethso3_e_f,Escherichia_coli_SE11,1000
EX_ethso3_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_ethso3_e_r,Escherichia_coli_SE11,5e-07
EX_etoh_e_f,Clostridium_butyricum_DSM_10702,1000
EX_etoh_e_f,Escherichia_coli_SE11,1000
EX_etoh_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_etoh_e_r,Escherichia_coli_SE11,5e-07
EX_f1a__rl_e_f,Escherichia_coli_SE11,1000
EX_f1a__rl_e_r,Escherichia_coli_SE11,1e-06
EX_f1a_e_f,Escherichia_coli_SE11,1000
EX_f1a_e_r,Escherichia_coli_SE11,1e-06
EX_fe2_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fe2_e_f,Escherichia_coli_SE11,1000
EX_fe2_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_fe2_e_r,Escherichia_coli_SE11,5e-10
EX_fe3_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fe3_e_f,Escherichia_coli_SE11,1000
EX_fe3_e_r,Clostridium_butyricum_DSM_10702,5e-10
EX_fe3_e_r,Escherichia_coli_SE11,5e-10
EX_fecrm_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fecrm_e_f,Escherichia_coli_SE11,1000
EX_fecrm_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_fecrm_e_r,Escherichia_coli_SE11,5e-07
EX_fol_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fol_e_r,Clostridium_butyricum_DSM_10702,1e-09
EX_for_e_f,Clostridium_butyricum_DSM_10702,1000
EX_for_e_f,Escherichia_coli_SE11,1000
EX_for_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_for_e_r,Escherichia_coli_SE11,5e-11
EX_fru_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fru_e_f,Escherichia_coli_SE11,1000
EX_fru_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_fru_e_r,Escherichia_coli_SE11,5e-07
EX_fuc__L_e_f,Escherichia_coli_SE11,1000
EX_fuc__L_e_r,Escherichia_coli_SE11,3.947e-11
EX_fuc1p__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fuc1p__L_e_f,Escherichia_coli_SE11,1000
EX_fuc1p__L_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_fuc1p__L_e_r,Escherichia_coli_SE11,5e-07
EX_fum_e_f,Clostridium_butyricum_DSM_10702,1000
EX_fum_e_f,Escherichia_coli_SE11,1000
EX_fum_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_fum_e_r,Escherichia_coli_SE11,5e-11
EX_g6p_e_f,Clostridium_butyricum_DSM_10702,1000
EX_g6p_e_f,Escherichia_coli_SE11,1000
EX_g6p_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_g6p_e_r,Escherichia_coli_SE11,5e-07
EX_gal_e_f,Clostridium_butyricum_DSM_10702,1000
EX_gal_e_f,Escherichia_coli_SE11,1000
EX_gal_e_r,Clostridium_butyricum_DSM_10702,1.9735e-11
EX_gal_e_r,Escherichia_coli_SE11,1.9735e-11
EX_gal1a3acgal_e_f,Escherichia_coli_SE11,1000
EX_gal1a3acgal_e_r,Escherichia_coli_SE11,1e-06
EX_gal1b3acgal_e_f,Escherichia_coli_SE11,1000
EX_gal1b3acgal_e_r,Escherichia_coli_SE11,1e-06
EX_galct__D_e_f,Escherichia_coli_SE11,1000
EX_galct__D_e_r,Escherichia_coli_SE11,1e-06
EX_galctn__D_e_f,Escherichia_coli_SE11,1000
EX_galctn__D_e_r,Escherichia_coli_SE11,1e-06
EX_galt_e_f,Clostridium_butyricum_DSM_10702,1000
EX_galt_e_f,Escherichia_coli_SE11,1000
EX_galt_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_galt_e_r,Escherichia_coli_SE11,5e-07
EX_galur_e_f,Clostridium_butyricum_DSM_10702,1000
EX_galur_e_f,Escherichia_coli_SE11,1000
EX_galur_e_r,Clostridium_butyricum_DSM_10702,5e-07
EX_galur_e_r,Escherichia_coli_SE11,5e-07
EX_gam_e_f,Clostridium_butyricum_DSM_10702,1000
EX_gam_e_f,Escherichia_coli_SE11,1000
EX_gam_e_r,Clostridium_butyricum_DSM_10702,5e-11
EX_gam_e_r,Escherichia_coli_SE11,5e-11
EX_gbbtn_e_f,Escherichia_coli_SE11,1000
EX_gbbtn_e_r,Escherichia_coli_SE11,1e-06
EX_gcald_e_f,Escherichia_coli_SE11,1000
EX_gcald_e_r,Escherichia_coli_SE11,1e-06
EX_gchola_e_f,Escherichia_coli_SE11,1000
EX_gchola_e_r,Escherichia_coli_SE11,1e-06
EX_glcn_e_f,Escherichia_coli_SE11,1000
EX_glcn_e_r,Escherichia_coli_SE11,3.947e-11
EX_glcr_e_f,Escherichia_coli_SE11,1000
EX_glcr_e_r,Escherichia_coli_SE11,1e-06
EX_glcur_e_f,Escherichia_coli_SE11,1000
EX_glcur_e_r,Escherichia_coli_SE11,1e-06
EX_gln__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_gln__L_e_f,Escherichia_coli_SE11,1000
EX_gln__L_e_r,Clostridium_butyricum_DSM_10702,9e-11
EX_gln__L_e_r,Escherichia_coli_SE11,9e-11
EX_glu__L_e_f,Clostridium_butyricum_DSM_10702,1000
EX_glu__L_e_f,Escherichia_coli_SE11,1000
EX_glu__L_e_r,Clostridium_butyricum_DSM_10702,9e-11
EX_glu__L_e_r,Escherichia_coli_SE11,9e-11
EX_gly_e_f,Clostridium_butyricum_DSM_10702,1000
EX_gly_e_f,Escherichia_coli_SE11,1000
